ubigeo,year,population
021306,1991,5354
021306,1992,5464
021306,1993,5579
021306,1994,5684
021306,1995,5765
021307,1990,3189
021307,1991,3244
021307,1992,3294
021307,1993,3341
021307,1994,3389
021307,1995,3439
021308,1990,1261
021308,1991,1280
021308,1992,1296
021308,1993,1312
021308,1994,1328
021308,1995,1347
021401,1990,2052
021401,1991,2027
021401,1992,2011
021401,1993,1990
021401,1994,1950
021401,1995,1885
021402,1990,483
021402,1991,475
021402,1992,464
021402,1993,452
021402,1994,442
021402,1995,436
021403,1990,281
021403,1991,266
021403,1992,256
021403,1993,248
021403,1994,242
021403,1995,235
021404,1990,573
021404,1991,570
021404,1992,563
021404,1993,556
021404,1994,549
021404,1995,545
021405,1990,997
021405,1991,986
021405,1992,968
021405,1993,949
021405,1994,933
021405,1995,923
021406,1990,1327
021406,1991,1309
021406,1992,1283
021406,1993,1254
021406,1994,1231
021406,1995,1217
021407,1990,250
021407,1991,231
021407,1992,219
021407,1993,211
021407,1994,205
021407,1995,197
021408,1990,556
021408,1991,539
021408,1992,524
021408,1993,512
021408,1994,501
021408,1995,492
021409,1990,706
021409,1991,688
021409,1992,671
021409,1993,655
021409,1994,642
021409,1995,630
021410,1990,461
021410,1991,458
021410,1992,453
021410,1993,447
021410,1994,442
021410,1995,440
021501,1990,3190
021501,1991,3172
021501,1992,3154
021501,1993,3137
021501,1994,3119
021501,1995,3101
021502,1990,1668
021502,1991,1637
021502,1992,1606
021502,1993,1575
021502,1994,1544
021502,1995,1513
021503,1990,7565
021503,1991,7635
021503,1992,7704
021503,1993,7774
021503,1994,7843
021503,1995,7913
021504,1990,900
021504,1991,905
021504,1992,911
021504,1993,916
021504,1994,922
021504,1995,927
021505,1990,1292
021505,1991,1276
021505,1992,1260
021505,1993,1245
021505,1994,1229
021505,1995,1213
021506,1990,879
021506,1991,880
021506,1992,881
021506,1993,883
021506,1994,884
021506,1995,885
021507,1990,675
021507,1991,673
021507,1992,670
021507,1993,668
021507,1994,665
021507,1995,663
021508,1990,3196
021508,1991,3208
021508,1992,3220
021508,1993,3233
021508,1994,3245
021508,1995,3257
021509,1990,5772
021509,1991,5597
021509,1992,5424
021509,1993,5243
021509,1994,5070
021509,1995,4895
021510,1990,1408
021510,1991,1410
021510,1992,1412
021510,1993,1415
021510,1994,1417
021510,1995,1419
021511,1990,3727
021511,1991,3667
021511,1992,3607
021511,1993,3548
021511,1994,3488
021511,1995,3428
021601,1990,13352
021601,1991,13375
021601,1992,13415
021601,1993,13461
021601,1994,13507
021601,1995,13541
021602,1990,3887
021602,1991,3901
021602,1992,3911
021602,1993,3919
021602,1994,3926
021602,1995,3935
021603,1990,7276
021603,1991,7258
