year,province,population
1993,2503,37693
1993,2504,2900
1994,0101,47702
1994,0102,78458
1994,0103,21940
1994,0104,37044
1994,0105,49226
1994,0106,22442
1994,0107,110299
1994,0201,128333
1994,0202,8966
1994,0203,19977
1994,0204,10269
1994,0205,28953
1994,0206,41835
1994,0207,21870
1994,0208,37431
1994,0209,9295
1994,0210,66300
1994,0211,25021
1994,0212,53500
1994,0213,24523
1994,0214,7137
1994,0215,29426
1994,0216,27438
1994,0217,19794
1994,0218,358969
1994,0219,33304
1994,0220,53133
1994,0301,102164
1994,0302,135748
1994,0303,12653
1994,0304,29277
1994,0305,47058
1994,0306,50148
1994,0307,27630
1994,0401,717743
1994,0402,45110
1994,0403,28790
1994,0404,38793
1994,0405,47695
1994,0406,21507
1994,0407,52575
1994,0408,17976
1994,0501,174139
1994,0502,35167
1994,0503,10651
1994,0504,67463
1994,0505,73037
1994,0506,58061
1994,0507,23736
1994,0508,10575
1994,0509,12977
1994,0510,27757
1994,0511,22422
1994,0601,245007
1994,0602,73134
1994,0603,87070
1994,0604,173616
1994,0605,34293
1994,0606,151557
1994,0607,79529
1994,0608,180855
1994,0609,121321
1994,0610,51657
1994,0611,64397
1994,0612,26166
1994,0613,46766
1994,0701,677262
1994,0801,287210
1994,0802,31802
1994,0803,60108
1994,0804,60184
1994,0805,42014
1994,0806,100521
1994,0807,73551
1994,0808,60492
1994,0809,170512
1994,0810,36938
1994,0811,43219
1994,0812,80647
1994,0813,51403
1994,0901,114822
1994,0902,44302
1994,0903,45441
1994,0904,20066
1994,0905,47200
1994,0906,24256
1994,0907,112368
1994,1001,240421
1994,1002,60280
1994,1003,42658
1994,1004,18730
1994,1005,60976
1994,1006,103794
1994,1007,21836
1994,1008,50477
1994,1009,37159
1994,1010,33533
1994,1011,35672
1994,1101,260637
1994,1102,157078
1994,1103,56665
1994,1104,14181
1994,1105,110500
1994,1201,420370
1994,1202,68409
1994,1203,125560
1994,1204,111343
1994,1205,42553
1994,1206,116913
1994,1207,122280
1994,1208,66973
1994,1209,50849
1994,1301,628671
1994,1302,114771
1994,1303,17400
1994,1304,61135
1994,1305,37705
1994,1306,86271
1994,1307,82591
1994,1308,66122
1994,1309,111039
1994,1310,58224
1994,1311,30345
1994,1312,36487
1994,1401,674136
1994,1402,89160
1994,1403,224957
1994,1501,5996874
1994,1502,118701
1994,1503,9363
1994,1504,11176
1994,1505,160182
1994,1506,133765
1994,1507,60051
1994,1508,169298
1994,1509,17780
1994,1510,28064
1994,1601,425251
1994,1602,91384
1994,1603,56637
1994,1604,37401
1994,1605,55604
1994,1606,54221
1994,1607,40767
1994,1608,7792
1994,1701,51120
1994,1702,17114
1994,1703,7086
1994,1801,60428
1994,1802,19786
1994,1803,54054
1994,1901,139620
1994,1902,38805
1994,1903,68545
1994,2001,528492
1994,2002,137366
1994,2003,122383
1994,2004,171465
1994,2005,80238
1994,2006,243197
1994,2007,129808
1994,2008,43864
1994,2101,208997
1994,2102,145473
1994,2103,49835
1994,2104,95517
1994,2105,80636
1994,2106,85711
1994,2107,45306
1994,2108,75567
1994,2109,34419
1994,2110,30143
1994,2111,181853
1994,2112,51768
1994,2113,50224
1994,2201,77550
1994,2202,38195
1994,2203,26860
1994,2204,23926
1994,2205,72896
1994,2206,54678
1994,2207,28562
1994,2208,77360
1994,2209,129407
1994,2210,80173
1994,2301,204687
1994,2302,9499
1994,2303,12315
1994,2304,8339
1994,2401,123074
1994,2402,13970
1994,2403,29002
1994,2501,276617
1994,2502,34990
1994,2503,41130
1994,2504,3071
