ubigeo,year,population
020702,2018,3322
020702,2019,3282
020702,2020,3233
020702,2021,3171
020702,2022,3101
020702,2023,3028.5
020703,2018,4324
020703,2019,4257
020703,2020,4180
020703,2021,4085
020703,2022,3982
020703,2023,3882
020801,2018,38133
020801,2019,39286
020801,2020,40363
020801,2021,41315
020801,2022,42209
020801,2023,43118.444444444445
020802,2018,5128
020802,2019,5276
020802,2020,5413
020802,2021,5533
020802,2022,5645
020802,2023,5758.833333333333
020803,2018,2280
020803,2019,2313
020803,2020,2340
020803,2021,2360
020803,2022,2375
020803,2023,2387.1666666666665
020804,2018,8841
020804,2019,9002
020804,2020,9140
020804,2021,9264
020804,2022,9376
020804,2023,9477.611111111111
020901,2018,1789
020901,2019,1792
020901,2020,1790
020901,2021,1794
020901,2022,1795
020901,2023,1782.888888888889
020902,2018,401
020902,2019,391
020902,2020,380
020902,2021,366
020902,2022,352
020902,2023,341.27777777777777
020903,2018,483
020903,2019,483
020903,2020,481
020903,2021,474
020903,2022,464
020903,2023,453.27777777777777
020904,2018,2856
020904,2019,2874
020904,2020,2881
020904,2021,2892
020904,2022,2901
020904,2023,2900.8333333333335
020905,2018,1088
020905,2019,1084
020905,2020,1078
020905,2021,1062
020905,2022,1044
020905,2023,1032.888888888889
020906,2018,676
020906,2019,672
020906,2020,666
020906,2021,654
020906,2022,638
020906,2023,620.3333333333334
020907,2018,741
020907,2019,741
020907,2020,741
020907,2021,727
020907,2022,712
020907,2023,710.5
021001,2018,9781
021001,2019,9806
021001,2020,9803
021001,2021,9796
021001,2022,9786
021001,2023,9772.722222222223
021002,2018,1467
021002,2019,1443
021002,2020,1414
021002,2021,1394
021002,2022,1371
021002,2023,1331.5555555555557
021003,2018,2711
021003,2019,2690
021003,2020,2661
021003,2021,2651
021003,2022,2637
021003,2023,2593.222222222222
021004,2018,8548
021004,2019,8517
021004,2020,8462
021004,2021,8467
021004,2022,8464
021004,2023,8376.555555555555
021005,2018,1880
021005,2019,1862
021005,2020,1841
021005,2021,1836
021005,2022,1830
021005,2023,1804
021006,2018,1488
021006,2019,1446
021006,2020,1401
021006,2021,1366
021006,2022,1330
021006,2023,1280.6666666666667
021007,2018,3611
021007,2019,3604
021007,2020,3589
021007,2021,3602
021007,2022,3614
021007,2023,3592.3888888888887
021008,2018,2782
021008,2019,2768
021008,2020,2746
021008,2021,2743
021008,2022,2737
021008,2023,2703.277777777778
021009,2018,1439
021009,2019,1401
021009,2020,1360
021009,2021,1329
021009,2022,1297
021009,2023,1251.6666666666667
021010,2018,1632
021010,2019,1601
021010,2020,1565
021010,2021,1539
021010,2022,1511
021010,2023,1467.5
021011,2018,2829
021011,2019,2781
021011,2020,2725
021011,2021,2688
021011,2022,2647
021011,2023,2576.222222222222
021012,2018,749
021012,2019,751
021012,2020,751
021012,2021,759
021012,2022,764
021012,2023,753.8333333333334
021013,2018,1500
021013,2019,1483
021013,2020,1461
021013,2021,1449
021013,2022,1433
021013,2023,1397.388888888889
021014,2018,18446
021014,2019,18998
021014,2020,19498
021014,2021,19745
021014,2022,19991
021014,2023,20513.166666666668
021015,2018,2687
021015,2019,2695
021015,2020,2694
021015,2021,2711
021015,2022,2724
021015,2023,2708.277777777778
021016,2018,1359
021016,2019,1327
021016,2020,1293
021016,2021,1269
021016,2022,1246
021016,2023,1213.8333333333333
021101,2018,26102
021101,2019,26644
021101,2020,27123
021101,2021,27494
021101,2022,27805
021101,2023,28109.166666666668
021102,2018,822
021102,2019,820
021102,2020,814
021102,2021,806
021102,2022,797
021102,2023,787.9444444444445
021103,2018,3350
021103,2019,3382
021103,2020,3405
021103,2021,3418
021103,2022,3424
021103,2023,3426.222222222222
021104,2018,976
021104,2019,971
021104,2020,961
021104,2021,955
021104,2022,950
021104,2023,942.3333333333334
021105,2018,799
021105,2019,782
021105,2020,763
021105,2021,751
021105,2022,742
021105,2023,731.2777777777778
021201,2018,26307
021201,2019,26663
021201,2020,26949
021201,2021,27141
021201,2022,27281
021201,2023,27414.666666666668
021202,2018,1080
021202,2019,1096
021202,2020,1110
021202,2021,1121
021202,2022,1130
021202,2023,1138.111111111111
021203,2018,1421
021203,2019,1410
021203,2020,1394
021203,2021,1385
021203,2022,1377
021203,2023,1363
021204,2018,1722
021204,2019,1712
021204,2020,1697
021204,2021,1688
021204,2022,1682
021204,2023,1675.2222222222222
021205,2018,1982
021205,2019,1977
021205,2020,1967
021205,2021,1950
021205,2022,1928
021205,2023,1903.2222222222222
021206,2018,8552
021206,2019,8577
021206,2020,8577
021206,2021,8580
021206,2022,8578
021206,2023,8561
021207,2018,6951
021207,2019,6980
021207,2020,6990
021207,2021,6998
021207,2022,7001
021207,2023,6994.888888888889
021208,2018,4612
021208,2019,4606
021208,2020,4588
021208,2021,4578
021208,2022,4568
021208,2023,4548.444444444444
021209,2018,1132
021209,2019,1113
