year,ubigeo,population,level
2005,040500,70967,province
2005,040501,6428,district
2005,040502,1261,district
2005,040503,3086,district
2005,040504,2778,district
2005,040505,4495,district
2005,040506,1480,district
2005,040507,1035,district
2005,040508,2045,district
2005,040509,814,district
2005,040510,1485,district
2005,040511,1513,district
2005,040512,1017,district
2005,040513,808,district
2005,040514,1430,district
2005,040515,870,district
2005,040516,738,district
2005,040517,2010,district
2005,040518,963,district
2005,040519,2459,district
2005,040520,34252,district
2005,040600,20060,province
2005,040601,3811,district
2005,040602,759,district
2005,040603,4012,district
2005,040604,916,district
2005,040605,751,district
2005,040606,3792,district
2005,040607,1158,district
2005,040608,4861,district
2005,040700,54058,province
2005,040701,25346,district
2005,040702,9769,district
2005,040703,6433,district
2005,040704,4421,district
2005,040705,1202,district
2005,040706,6887,district
2005,040800,16572,province
2005,040801,3167,district
2005,040802,2293,district
2005,040803,701,district
2005,040804,2621,district
2005,040805,1536,district
2005,040806,3013,district
2005,040807,303,district
2005,040808,521,district
2005,040809,361,district
2005,040810,945,district
2005,040811,1111,district
2005,050000,611542,region
2005,050100,226713,province
2005,050101,96913,district
2005,050102,8583,district
2005,050103,4855,district
2005,050104,15073,district
2005,050105,6052,district
2005,050106,5628,district
2005,050107,2739,district
2005,050108,6129,district
2005,050109,2150,district
2005,050110,35293,district
2005,050111,1374,district
2005,050112,6968,district
2005,050113,4877,district
2005,050114,15455,district
2005,050115,14624,district
2005,050200,35139,province
2005,050201,6754,district
2005,050202,8350,district
2005,050203,7911,district
2005,050204,2903,district
2005,050205,5144,district
2005,050206,4077,district
2005,050300,10675,province
2005,050301,3517,district
2005,050302,2642,district
2005,050303,1832,district
2005,050304,2684,district
2005,050400,89081,province
2005,050401,38015,district
2005,050402,7605,district
2005,050403,5239,district
2005,050404,2556,district
2005,050405,5087,district
2005,050406,7188,district
2005,050407,11807,district
2005,050408,11584,district
2005,050500,82811,province
2005,050501,19193,district
2005,050502,14908,district
2005,050503,10080,district
2005,050504,2490,district
2005,050505,6029,district
2005,050506,2166,district
2005,050507,11158,district
2005,050508,16787,district
2005,050600,64614,province
2005,050601,13791,district
2005,050602,4103,district
2005,050603,2934,district
2005,050604,3257,district
2005,050605,2456,district
2005,050606,4010,district
2005,050607,2669,district
2005,050608,2054,district
2005,050609,1660,district
2005,050610,1442,district
2005,050611,3669,district
2005,050612,3600,district
2005,050613,3007,district
2005,050614,867,district
2005,050615,1886,district
2005,050616,1142,district
2005,050617,3397,district
2005,050618,1603,district
2005,050619,5104,district
2005,050620,766,district
2005,050621,1197,district
2005,050700,29067,province
2005,050701,14474,district
2005,050702,3060,district
2005,050703,1154,district
2005,050704,1335,district
2005,050705,4297,district
2005,050706,2432,district
2005,050707,648,district
2005,050708,1667,district
2005,050800,11008,province
2005,050801,3094,district
2005,050802,715,district
2005,050803,602,district
2005,050804,2448,district
2005,050805,790,district
2005,050806,1156,district
2005,050807,687,district
2005,050808,508,district
2005,050809,190,district
2005,050810,818,district
2005,050900,12760,province
2005,050901,2703,district
2005,050902,606,district
2005,050903,746,district
2005,050904,696,district
2005,050905,630,district
2005,050906,1663,district
2005,050907,987,district
2005,050908,952,district
2005,050909,1592,district
2005,050910,970,district
2005,050911,1215,district
2005,051000,25998,province
2005,051001,2520,district
2005,051002,2579,district
2005,051003,1210,district
2005,051004,500,district
2005,051005,4018,district
2005,051006,1382,district
2005,051007,1283,district
2005,051008,1277,district
2005,051009,2067,district
2005,051010,3161,district
2005,051011,3039,district
2005,051012,2962,district
2005,051100,23676,province
2005,051101,8255,district
2005,051102,1479,district
2005,051103,1189,district
2005,051104,2814,district
2005,051105,2223,district
2005,051106,1882,district
2005,051107,1514,district
2005,051108,4320,district
2005,060000,1458379,region
2005,060100,321106,province
2005,060101,187219,district
