ubigeo,year,population,level
010600,1990,21556,province
010600,1991,21800,province
010600,1992,22021,province
010600,1993,22230,province
010600,1994,22442,province
010600,1995,22669,province
010601,1990,4051,district
010601,1991,4081,district
010601,1992,4094,district
010601,1993,4096,district
010601,1994,4103,district
010601,1995,4127,district
010602,1990,1467,district
010602,1991,1485,district
010602,1992,1498,district
010602,1993,1511,district
010602,1994,1526,district
010602,1995,1546,district
010603,1990,628,district
010603,1991,623,district
010603,1992,616,district
010603,1993,609,district
010603,1994,604,district
010603,1995,601,district
010604,1990,4399,district
010604,1991,4390,district
010604,1992,4369,district
010604,1993,4345,district
010604,1994,4323,district
010604,1995,4312,district
010605,1990,2010,district
010605,1991,2009,district
010605,1992,2008,district
010605,1993,2008,district
010605,1994,2007,district
010605,1995,2006,district
010606,1990,1989,district
010606,1991,1978,district
010606,1992,1961,district
010606,1993,1942,district
010606,1994,1926,district
010606,1995,1916,district
010607,1990,1700,district
010607,1991,1696,district
010607,1992,1692,district
010607,1993,1689,district
010607,1994,1685,district
010607,1995,1681,district
010608,1990,778,district
010608,1991,786,district
010608,1992,793,district
010608,1993,799,district
010608,1994,805,district
010608,1995,810,district
010609,1990,3060,district
010609,1991,3286,district
010609,1992,3534,district
010609,1993,3786,district
010609,1994,4024,district
010609,1995,4229,district
010610,1990,743,district
010610,1991,729,district
010610,1992,712,district
010610,1993,695,district
010610,1994,681,district
010610,1995,673,district
010611,1990,585,district
010611,1991,577,district
010611,1992,568,district
010611,1993,558,district
010611,1994,550,district
010611,1995,547,district
010612,1990,146,district
010612,1991,160,district
010612,1992,176,district
010612,1993,192,district
010612,1994,208,district
010612,1995,221,district
010700,1990,99942,province
010700,1991,102555,province
010700,1992,105137,province
010700,1993,107712,province
010700,1994,110299,province
010700,1995,112921,province
010701,1990,38508,district
010701,1991,39887,district
010701,1992,41265,district
010701,1993,42662,district
010701,1994,44094,district
010701,1995,45577,district
010702,1990,26185,district
010702,1991,26620,district
010702,1992,27030,district
010702,1993,27427,district
010702,1994,27823,district
010702,1995,28230,district
010703,1990,10452,district
010703,1991,10624,district
010703,1992,10786,district
010703,1993,10943,district
010703,1994,11098,district
010703,1995,11254,district
010704,1990,5063,district
010704,1991,5311,district
010704,1992,5574,district
010704,1993,5839,district
010704,1994,6093,district
010704,1995,6323,district
010705,1990,7138,district
010705,1991,7358,district
010705,1992,7582,district
010705,1993,7803,district
010705,1994,8018,district
010705,1995,8223,district
010706,1990,8718,district
010706,1991,8849,district
010706,1992,8970,district
010706,1993,9087,district
010706,1994,9203,district
010706,1995,9323,district
010707,1990,3878,district
010707,1991,3906,district
010707,1992,3930,district
010707,1993,3951,district
010707,1994,3970,district
010707,1995,3991,district
020000,1990,972571,region
020000,1991,981760,region
020000,1992,989719,region
020000,1993,997329,region
020000,1994,1005474,region
020000,1995,1015037,region
020100,1990,121309,province
020100,1991,123065,province
020100,1992,124821,province
020100,1993,126577,province
020100,1994,128333,province
020100,1995,130089,province
020101,1990,44285,district
020101,1991,45083,district
020101,1992,45943,district
020101,1993,46820,district
020101,1994,47687,district
020101,1995,48498,district
020102,1990,2339,district
020102,1991,2327,district
020102,1992,2314,district
020102,1993,2302,district
020102,1994,2289,district
020102,1995,2277,district
020103,1990,485,district
020103,1991,484,district
020103,1992,482,district
020103,1993,481,district
020103,1994,479,district
020103,1995,478,district
020104,1990,3041,district
020104,1991,3103,district
020104,1992,3163,district
020104,1993,3221,district
020104,1994,3279,district
020104,1995,3339,district
020105,1990,47231,district
020105,1991,48121,district
020105,1992,48955,district
020105,1993,49770,district
020105,1994,50599,district
020105,1995,51478,district
020106,1990,3707,district
020106,1991,3733,district
020106,1992,3758,district
020106,1993,3784,district
020106,1994,3809,district
020106,1995,3835,district
020107,1990,1634,district
020107,1991,1632,district
020107,1992,1629,district
020107,1993,1627,district
020107,1994,1624,district
020107,1995,1622,district
020108,1990,3756,district
020108,1991,3700,district
020108,1992,3644,district
020108,1993,3589,district
020108,1994,3533,district
020108,1995,3477,district
020109,1990,1748,district
020109,1991,1721,district
020109,1992,1694,district
020109,1993,1666,district
020109,1994,1639,district
020109,1995,1612,district
020110,1990,4039,district
020110,1991,4053,district
020110,1992,4067,district
020110,1993,4081,district
020110,1994,4095,district
020110,1995,4109,district
020111,1990,4168,district
020111,1991,4206,district
020111,1992,4244,district
020111,1993,4282,district
020111,1994,4320,district
020111,1995,4358,district
020112,1990,4876,district
020112,1991,4902,district
020112,1992,4928,district
020112,1993,4954,district
020112,1994,4980,district
020112,1995,5006,district
020200,1990,9297,province
020200,1991,9214,province
020200,1992,9131,province
020200,1993,9049,province
020200,1994,8966,province
020200,1995,8883,province
020201,1990,2827,district
020201,1991,2725,district
020201,1992,2627,district
020201,1993,2531,district
020201,1994,2436,district
020201,1995,2343,district
020202,1990,1973,district
020202,1991,1994,district
020202,1992,2012,district
020202,1993,2028,district
020202,1994,2043,district
020202,1995,2055,district
020203,1990,489,district
020203,1991,488,district
020203,1992,486,district
020203,1993,485,district
020203,1994,483,district
020203,1995,482,district
020204,1990,2884,district
020204,1991,2890,district
020204,1992,2896,district
020204,1993,2902,district
020204,1994,2908,district
020204,1995,2914,district
020205,1990,1124,district
020205,1991,1117,district
020205,1992,1110,district
020205,1993,1103,district
020205,1994,1096,district
020205,1995,1089,district
020300,1990,19715,province
020300,1991,19781,province
020300,1992,19846,province
020300,1993,19912,province
020300,1994,19977,province
020300,1995,20043,province
020301,1990,4572,district
020301,1991,4586,district
020301,1992,4598,district
020301,1993,4606,district
020301,1994,4617,district
020301,1995,4625,district
020302,1990,2857,district
020302,1991,2916,district
020302,1992,2977,district
020302,1993,3038,district
020302,1994,3096,district
020302,1995,3150,district
020303,1990,2621,district
020303,1991,2603,district
020303,1992,2584,district
020303,1993,2565,district
020303,1994,2547,district
020303,1995,2534,district
020304,1990,2660,district
020304,1991,2622,district
020304,1992,2581,district
020304,1993,2541,district
020304,1994,2506,district
020304,1995,2480,district
020305,1990,5292,district
020305,1991,5347,district
020305,1992,5406,district
020305,1993,5469,district
020305,1994,5525,district
020305,1995,5573,district
020306,1990,1713,district
020306,1991,1707,district
020306,1992,1700,district
020306,1993,1693,district
020306,1994,1686,district
020306,1995,1681,district
020400,1990,10117,province
020400,1991,10155,province
020400,1992,10193,province
020400,1993,10231,province
020400,1994,10269,province
020400,1995,10307,province
020401,1990,5156,district
020401,1991,5216,district
020401,1992,5278,district
020401,1993,5339,district
020401,1994,5400,district
020401,1995,5456,district
020402,1990,4961,district
020402,1991,4939,district
020402,1992,4915,district
020402,1993,4892,district
020402,1994,4869,district
020402,1995,4851,district
020500,1990,30404,province
020500,1991,30041,province
020500,1992,29678,province
020500,1993,29316,province
020500,1994,28953,province
020500,1995,28590,province
020501,1990,5154,district
020501,1991,5079,district
